date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-02,823388,663886,Tyler Stephenson,CIN,PIT,A,8,True,,3.9,R,R,0,1,1,0,0.7560975609756098,0,0.1875,1.0,1,12,-310,Tyler Stephenson,draftkings,-137,104,2026-05-02T18:08:07.927482+00:00,0.3079935908848139,True,4:05 PM ET,hit,2,0.7299270072992701,0.7299270072992701
2026-05-02,823388,666181,Will Benson,CIN,PIT,A,7,True,,4.0,L,R,1,1,1,0,0.7565938206480783,0,0.1,1.0,1,12,-311,Will Benson,draftkings,-139,105,2026-05-02T18:08:07.927482+00:00,0.3009059218337462,True,4:05 PM ET,hit,2,0.7194244604316546,0.7194244604316546
2026-05-02,822746,669003,Garrett Mitchell,MIL,WSH,A,1,True,,4.6,L,L,0,1,1,0,0.8075040783034257,0,0.217391304347826,1.0,0,5,-419,Garrett Mitchell,draftkings,-166,124,2026-05-02T18:08:07.927482+00:00,0.2939523182452485,True,4:05 PM ET,hit,1,0.6024096385542169,0.6024096385542169
2026-05-02,822746,596142,Gary Sánchez,MIL,WSH,A,4,True,,4.3,R,L,1,1,1,0,0.7565938206480783,0,0.1904761904761904,1.0,0,5,-311,Gary Sanchez,draftkings,-156,117,2026-05-02T18:08:07.927482+00:00,0.2415898595250517,True,4:05 PM ET,miss,0,-1.0,-1.0
2026-05-02,825014,643446,Jeff McNeil,ATH,CLE,H,7,True,,3.95,L,R,1,1,1,0,0.8418079096045198,1,0.4117647058823529,2.0,0,2,-532,Jeff McNeil,draftkings,-214,159,2026-05-02T18:08:07.927482+00:00,0.2351760916627066,True,4:05 PM ET,hit,2,0.4672897196261682,0.9345794392523364
2026-05-02,823388,663993,Nathaniel Lowe,CIN,PIT,A,5,True,,4.2,L,R,1,1,1,0,0.8075040783034257,0,0.3,1.0,1,12,-419,Nathaniel Lowe,draftkings,-191,143,2026-05-02T18:08:07.927482+00:00,0.230281082650769,True,4:05 PM ET,hit,2,0.5235602094240838,0.5235602094240838
2026-05-02,823388,682829,Elly De La Cruz,CIN,PIT,A,3,True,,4.4,L,R,1,1,1,0,0.8075040783034257,0,0.2727272727272727,1.0,1,12,-419,Elly De La Cruz,draftkings,-192,144,2026-05-02T18:08:07.927482+00:00,0.22807911908646,True,4:05 PM ET,hit,1,0.5208333333333334,0.5208333333333334
2026-05-02,823388,668715,Spencer Steer,CIN,PIT,A,6,True,,4.1,R,R,0,1,1,0,0.7565938206480783,0,0.2941176470588235,1.0,1,12,-311,Spencer Steer,draftkings,-170,128,2026-05-02T18:08:07.927482+00:00,0.201649009264595,True,4:05 PM ET,hit,1,0.5882352941176471,0.5882352941176471
2026-05-02,823388,665833,Oneil Cruz,PIT,CIN,H,1,True,,4.55,L,R,1,1,1,0,0.8075040783034257,0,0.1428571428571428,1.0,0,5,-419,Oneil Cruz,draftkings,-207,154,2026-05-02T18:08:07.927482+00:00,0.1976026668558053,True,4:05 PM ET,hit,2,0.4830917874396135,0.4830917874396135
2026-05-02,825014,687231,Darell Hernaiz,ATH,CLE,H,9,True,,3.75,R,R,0,0,1,0,0.7565938206480783,1,0.3529411764705882,2.0,0,2,-311,Darell Hernaiz,draftkings,-173,129,2026-05-02T18:08:07.927482+00:00,0.1939312892307826,True,4:05 PM ET,miss,0,-1.0,-2.0
2026-05-02,822746,668930,Brice Turang,MIL,WSH,A,2,True,,4.5,L,L,0,1,1,0,0.8075040783034257,1,0.3636363636363636,2.0,0,5,-419,Brice Turang,draftkings,-219,163,2026-05-02T18:08:07.927482+00:00,0.1762274017296475,True,4:05 PM ET,hit,1,0.45662100456621,0.91324200913242
2026-05-02,825014,671732,Lawrence Butler,ATH,CLE,H,8,True,,3.85,L,R,1,1,1,0,0.7565938206480783,0,0.1,1.0,0,2,-311,Lawrence Butler,draftkings,-182,136,2026-05-02T18:08:07.927482+00:00,0.1723047111140555,True,4:05 PM ET,hit,1,0.5494505494505495,0.5494505494505495
2026-05-02,823388,542303,Marcell Ozuna,PIT,CIN,H,6,True,,4.05,R,R,0,0,1,0,0.7422680412371134,0,0.1666666666666666,1.0,0,5,-288,Marcell Ozuna,draftkings,-173,130,2026-05-02T18:08:07.927482+00:00,0.1713247124724391,True,4:05 PM ET,hit,3,0.5780346820809249,0.5780346820809249
2026-05-02,825014,800050,Chase DeLauter,CLE,ATH,A,5,True,,4.2,L,L,0,1,1,0,0.8075040783034257,1,0.55,2.0,0,4,-419,Chase DeLauter,draftkings,-229,170,2026-05-02T18:08:07.927482+00:00,0.1601259465581968,True,4:05 PM ET,hit,2,0.4366812227074236,0.8733624454148472
2026-05-02,825014,677587,Brayan Rocchio,CLE,ATH,A,9,True,,3.8,L,L,0,1,1,0,0.7565938206480783,0,0.2727272727272727,1.0,0,4,-311,Brayan Rocchio,draftkings,-188,140,2026-05-02T18:08:07.927482+00:00,0.1590373422693966,True,4:05 PM ET,hit,1,0.5319148936170213,0.5319148936170213
2026-05-02,822746,641343,Jake Bauers,MIL,WSH,A,5,True,,4.2,L,L,0,1,1,0,0.7560975609756098,0,0.2916666666666667,1.0,0,5,-310,Jake Bauers,draftkings,-191,143,2026-05-02T18:08:07.927482+00:00,0.1519601583450389,True,4:05 PM ET,miss,0,-1.0,-1.0
